GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProjetAgile,ca.uqam.inf2015.projetagile,ContratFactory,41,0,6,0,14,0,7,0,2,0
ProjetAgile,ca.uqam.inf2015.projetagile,ProjetSession,231,0,8,0,59,0,13,0,9,0
ProjetAgile,ca.uqam.inf2015.projetagile,ContratA,129,0,10,0,32,0,16,0,11,0
ProjetAgile,ca.uqam.inf2015.projetagile,Dollar,25,157,0,6,10,42,4,17,4,14
ProjetAgile,ca.uqam.inf2015.projetagile,JsonFileHandler,753,0,46,0,223,0,61,0,38,0
ProjetAgile,ca.uqam.inf2015.projetagile,ContratD,228,0,24,0,50,0,23,0,11,0
ProjetAgile,ca.uqam.inf2015.projetagile,ContratE,170,0,16,0,39,0,19,0,11,0
ProjetAgile,ca.uqam.inf2015.projetagile,ContratB,170,0,16,0,39,0,19,0,11,0
ProjetAgile,ca.uqam.inf2015.projetagile,ContratC,129,0,10,0,32,0,16,0,11,0
ProjetAgile,ca.uqam.inf2015.projetagile,InvalidArgumentException,4,0,0,0,2,0,1,0,1,0
ProjetAgile,ca.uqam.inf2015.projetagile,Utf8File,20,0,0,0,5,0,3,0,3,0
ProjetAgile,ca.uqam.inf2015.projetagile,InterfaceContrat,199,0,24,0,43,0,16,0,4,0
ProjetAgile,ca.uqam.inf2015.projetagile.jsonmodels,Remboursement,36,0,0,0,16,0,8,0,8,0
ProjetAgile,ca.uqam.inf2015.projetagile.jsonmodels,ModeleJsonIn,59,0,0,0,23,0,11,0,11,0
ProjetAgile,ca.uqam.inf2015.projetagile.jsonmodels,ModeleJsonOut,43,0,0,0,17,0,10,0,10,0
ProjetAgile,ca.uqam.inf2015.projetagile.jsonmodels,Reclamation,36,0,0,0,16,0,8,0,8,0
ProjetAgile,ca.uqam.inf2015.projetagile.jsonmodels,Statistique,419,0,24,0,105,0,42,0,30,0
